Product;Prices;Store;Links
RED 9 Keys PBT Backlit Keycaps WASD/ESC/Direction With Key Cap Puller For MX Switch;R$19.51;Shopee;https://www.google.com/url?url=https://shopee.com.br/product/298141838/4373431756&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkI0gc&usg=AOvVaw0ZSnxzxv4U2PAjysCLEIhy
zada para Teclado Mecânico Cherry Profile PBT Keycap DYE-SUB Inglês 61 64 68 129 ...;R$33.58;AliExpress.com;https://www.google.com/url?url=https://s.click.aliexpress.com/deep_link.htm%3Faff_short_key%3DUneMJZVf%26dl_target_url%3Dhttps%253A%252F%252Fpt.aliexpress.com%252Fitem%252F1005003264312109.html%253F_randl_currency%253DBRL%2526_randl_shipto%253DBR%2526src%253Dgoogle&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkI3wc&usg=AOvVaw3KylEMcG7BOYSYVdRJOsmD
PBT Keycap Set para Teclado Mecânico, 6.25u Keycaps, Vermelho, Keycap, MX, Cherry ...;R$4.35;AliExpress.com;https://www.google.com/url?url=https://s.click.aliexpress.com/deep_link.htm%3Faff_short_key%3DUneMJZVf%26dl_target_url%3Dhttps%253A%252F%252Fpt.aliexpress.com%252Fitem%252F32827362381.html%253F_randl_currency%253DBRL%2526_randl_shipto%253DBR%2526src%253Dgoogle&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkI6wc&usg=AOvVaw28LH6AbZPVa64PByErw-9A
úcido vermelho pixel amor keycap perfil OEM para teclado mecânico personalidade ...;R$27.61;AliExpress.com;https://www.google.com/url?url=https://s.click.aliexpress.com/deep_link.htm%3Faff_short_key%3DUneMJZVf%26dl_target_url%3Dhttps%253A%252F%252Fpt.aliexpress.com%252Fitem%252F1005004442677427.html%253F_randl_currency%253DBRL%2526_randl_shipto%253DBR%2526src%253Dgoogle&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkI9wc&usg=AOvVaw2r9UPjEKMs2rSpyEcBD9i_
Gmk Pbt 104 Keycaps Set Profile For Mx Switches Mechanical Gaming;R$100.28 + tax;eBay;https://www.google.com/url?url=https://www.ebay.com/itm/195257921181%3Fchn%3Dps%26mkevt%3D1%26mkcid%3D28%26srsltid%3DAfmBOop7pIr6atdMt-9CB7cdFqhdEDj-fVkPJQaL3RP3nNL6k7fsZGsvtd0&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIgwg&usg=AOvVaw2PwzXeIbg5f9O5t1OZyjjD
Red1 Teclado Mecânico Grosso Pbt Red Esc Keycap R4 Cereja Mx Interruptor Altura Oem;R$11.84;Shopee;https://www.google.com/url?url=https://shopee.com.br/product/298141838/9169088945&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIkAg&usg=AOvVaw3ysnhqCSsHv_QipL34ukL0
PBT vermelho Keycaps para Cherry Gateron MX Gaming, teclado mecânico, Side Dye ...;R$121.40;AliExpress.com;https://www.google.com/url?url=https://s.click.aliexpress.com/deep_link.htm%3Faff_short_key%3DUneMJZVf%26dl_target_url%3Dhttps%253A%252F%252Fpt.aliexpress.com%252Fitem%252F1005006061033950.html%253F_randl_currency%253DBRL%2526_randl_shipto%253DBR%2526src%253Dgoogle&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkInQg&usg=AOvVaw3KH7sOuFK1XLAS1xVws0pQ
Keycaps Switch Teclado Mecânico ISO Layout rgb Retro iluminadas 129 Keycaps OEM ...;R$129.90;JS Loja Digital;https://www.google.com/url?url=https://jslojadigital.com/products/keycaps-switch-teclado-mecanico-iso-layout-rgb-retro-iluminadas-129-keycaps-oem-profile-pbt-double-shot%3Fsrsltid%3DAfmBOoobPxPj7SnSrgRiaaDElU0-O5__sKstNzG0acgAQCfRAAivQEnYWOg&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIqQg&usg=AOvVaw2S257ge7neTdg0lpJxgfLM
Keycaps PBT Customizadas Rose/Tundora;R$146.90;VTR Imports;https://www.google.com/url?url=https://www.vtrimports.com/keycaps-pbt-customizadas%3Futm_source%3DSite%26utm_medium%3DGoogleMerchant%26utm_campaign%3DGoogleMerchant%26sku%3D2SXMHS3DK-pink-gray&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkItQg&usg=AOvVaw1nXFXSyPMYzMRR4fb3pP75
Choc PBT/PC Keycaps for Low Profile Choc Switch;R$3.95;kriscables;https://www.google.com/url?url=https://kriscables.com/product/choc-pbt-keycaps/%3Fattribute_pa_option%3D1u-smoked&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwjmzIHUi4WCAxVArZUCHYdGC7MQ2SkIwQg&usg=AOvVaw25EM8A7YnfkDQI4uGoUToM
